Nro.;Measured Depth (m);Inclination (°);Azimuth (°);Vertical Depth (m);+N/-S (m);+E/-W (m);Vertical Section (m);Dogleg Rate (°/30m);Build Rate (°/30m);Turn Rate (°/30m);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;1387.1;7.66;329.93;1374.65;105.39;-113.99;147.96;2.343;-1.462;11.994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;1428;10.47;345.74;1415.04;111.35;-116.27;153.07;2.736;2.061;11.597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;1468.3;12.18;6.35;1454.57;119.13;-116.7;157.58;3.249;1.273;15.342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;1508.7;13.62;22.56;1493.96;127.76;-114.4;160.24;2.881;1.069;12.037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;1551.3;15.49;29.92;1535.2;137.33;-109.64;161.32;1.85;1.317;5.183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;1589.1;17.8;32.61;1571.41;146.57;-104.01;161.49;1.932;1.833;2.135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;1629.5;20.24;33.68;1609.6;157.59;-96.8;161.27;1.83;1.812;0.795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;1663.4;23.45;33.72;1641.07;168.08;-89.81;160.95;2.841;2.841;0.035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;1710.4;26.64;33.77;1683.64;184.62;-78.76;160.43;2.036;2.036;0.032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;1750.3;29.38;36.44;1718.87;199.94;-67.97;159.47;2.265;2.06;2.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;1790.4;29.98;36.55;1753.7;215.9;-56.16;158;0.451;0.449;0.082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;1831.1;30.06;36.61;1788.94;232.25;-44.02;156.45;0.063;0.059;0.044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;1871.1;30.03;36.77;1823.57;248.31;-32.06;154.9;0.064;-0.022;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;1911.6;29.86;35.39;1858.66;264.65;-20.15;153.55;0.526;-0.126;-1.022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;1952.2;29.78;34.81;1893.89;281.16;-8.54;152.54;0.221;-0.059;-0.429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;1992.8;29.92;35.24;1929.1;297.71;3.06;151.56;0.189;0.103;0.318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;2027.3;29.89;35.13;1959.01;311.77;12.97;150.67;0.054;-0.026;-0.096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;2066.3;29.92;34.8;1992.82;327.7;24.11;149.75;0.129;0.023;-0.254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;2113.7;29.8;35.71;2033.92;346.98;37.73;148.51;0.297;-0.076;0.576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;2154.7;29.85;34.79;2069.49;363.63;49.5;147.44;0.337;0.037;-0.673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;2194.3;29.84;36.98;2103.84;379.59;61.05;146.18;0.826;-0.008;1.659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;2234.7;29.79;38.27;2138.89;395.5;73.31;144.3;0.478;-0.037;0.958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;2275.1;30.01;37.36;2173.92;411.41;85.66;142.34;0.374;0.163;-0.676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;2305.9;29.96;35.61;2200.6;423.78;94.81;141.2;0.853;-0.049;-1.705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;2396.5;30.06;35.35;2279.05;460.68;121.11;138.64;0.054;0.033;-0.086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;2436.7;30.19;35.59;2313.82;477.12;132.82;137.51;0.132;0.097;0.179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;2470.8;30.22;36.84;2343.29;490.96;142.95;136.32;0.554;0.026;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;2517.2;30.25;36.59;2383.38;509.69;156.92;134.49;0.084;0.019;-0.162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;2557.9;30.19;34.71;2418.55;526.33;168.86;133.28;0.699;-0.044;-1.386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;2587;30.19;33.06;2443.7;538.48;177.02;132.86;0.855;0;-1.701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;2653.2;27.05;19.76;2501.87;566.63;191.21;135.87;3.211;-1.423;-6.027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;2693.7;26.44;14.67;2538.04;584.02;196.6;140.59;1.755;-0.452;-3.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;2733.9;26.47;6.38;2574.04;601.59;199.87;147.2;2.754;0.022;-6.187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;2774.3;26.45;356.36;2610.23;619.53;200.3;156.4;3.312;-0.015;-7.441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;2814.8;26.44;349.52;2646.5;637.4;198.08;167.81;2.255;-0.007;-5.067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;2855.3;26.84;342.3;2682.71;654.98;193.66;180.93;2.415;0.296;-5.348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;2895.1;29.13;334.29;2717.86;672.27;186.72;196.02;3.314;1.726;-6.038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;2935.6;30.82;327.98;2752.95;689.96;176.94;213.73;2.648;1.252;-4.674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;2975.9;33.73;322.9;2787.03;707.64;164.72;233.51;2.96;2.166;-3.782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;3016.3;36.82;316.6;2820.02;725.39;149.62;255.74;3.542;2.295;-4.678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;3056.6;38.42;310.99;2851.95;742.39;131.87;279.83;2.813;1.191;-4.176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;3097.1;40.86;304.69;2883.15;758.19;111.47;305.51;3.481;1.807;-4.667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;3136.9;45.54;301.79;2912.15;773.09;88.67;332.74;3.831;3.528;-2.186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;3177.3;49.5;301.46;2939.43;788.71;63.31;362.53;2.946;2.941;-0.245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;3217.8;44.76;301.22;2966.98;804.15;37.96;392.2;3.514;-3.511;-0.178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;3257.9;40.65;301.61;2996.44;818.32;14.76;419.39;3.081;-3.075;0.292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;3298.5;36.47;301.87;3028.18;831.62;-6.76;444.69;3.091;-3.089;0.192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;3338.7;32.86;302.97;3061.24;843.87;-26.07;467.55;2.734;-2.694;0.821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;3379;28.3;302.94;3095.93;855.02;-43.26;488.04;3.395;-3.395;-0.022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;3419.2;23.61;303.38;3132.06;864.64;-57.99;505.63;3.503;-3.5;0.328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;3459.7;21.06;302.82;3169.52;873.05;-70.88;521.02;1.895;-1.889;-0.415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;3499.9;21.06;301.73;3207.03;880.76;-83.1;535.46;0.292;0;-0.813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;3540.5;21.02;301.56;3244.93;888.41;-95.5;550.04;0.054;-0.03;-0.126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;3580.5;20.88;301.96;3282.28;895.93;-107.66;564.34;0.15;-0.105;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;3620;20.89;302.46;3319.19;903.44;-119.58;578.42;0.135;0.008;0.377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;3632;20.89;302.46;3330.4;905.74;-123.19;582.7;0.003;0;0.009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
